Director,DIN,Company Name,CIN,Listed on stock exchange,Company status,ROC,Registration no,Company category,company sub category,class of company,Date of incorporation,Age of company,Activity,Address,Primary Contact,Primary Contact Email,Company Phone Number,OLD CIN
Deepak Iyer,99608460,Adams Group,CIN2728835,No,Active,ROC-Delhi,241618,Company limited by Shares,Non-govt company,Public,07-01-2020,5,Consulting,"8855 Erik Junction, Jacquelineburgh, NE 11984",Ashley Montoya,adams@group.com,9.18198E+11,CIN2708035
Suresh Patel,14435570,Adams Group,CIN2728835,No,Active,ROC-Delhi,241618,Company limited by Shares,Non-govt company,Public,02-06-2020,5,Consulting,"8855 Erik Junction, Jacquelineburgh, NE 11984",Ashley Montoya,adams@group.com,9.18198E+11,CIN2708035
Neha Malhotra,20210553,Anderson Ltd,CIN9640285,No,Active,ROC-Bangalore,299666,Company limited by Shares,Non-govt company,Private,21-09-2018,7,IT Services,"37001 Thomas Plaza, Lake Fred, WA 63255",Jennifer Mcdonald,anderson@ltd.com,9.16213E+11,
Amit Chowdhury,98369925,"Anderson, Oconnell and Yates",CIN0680697,No,Active,ROC-Delhi,766195,Company limited by Shares,Non-govt company,Private,23-07-2022,3,Consulting,"9393 Lee Ranch Apt. 439, Johnsonburgh, MA 82112",Jason Morton,anderson@yates.com,9.16254E+11,
Kiran Kumar,80412156,"Barnett, Ruiz and Hill",CIN9634691,Yes,Inactive,ROC-Bangalore,804668,Company limited by Shares,Non-govt company,Public,27-01-2024,1,Services,"67650 Hancock Square, West Scotttown, AZ 94046",Marc Walton,barnett@hill.com,9.18115E+11,
Arjun Malhotra,77514081,Brewer Inc,CIN2342783,Yes,Inactive,ROC-Bangalore,980296,Company limited by Shares,Non-govt company,Private,01-03-2018,7,Services,"0837 Cooper Islands, East Roybury, NC 16710",Melissa Callahan,brewer@inc.com,9.18079E+11,
Rina Verma,25087228,"Brown, Ayala and Briggs",CIN7474879,Yes,Inactive,ROC-Bangalore,929655,Company limited by Shares,Non-govt company,Private,21-11-2016,9,Manufacturing,"557 Angela Burgs Apt. 666, Millsport, WI 49205",Alexander Dominguez,brown@briggs.com,9.17508E+11,
Suresh Patel,14435570,Brown-Scott,CIN1354341,Yes,Active,ROC-Delhi,701691,Company limited by Shares,Non-govt company,Public,11-09-2017,8,Services,"488 Elizabeth Crest, Justinport, IA 01202",John Dixon,brown-scott@brown-scott.com,9.19745E+11,
Kiran Kumar,80412156,Carr-Brown,CIN4696297,No,Active,ROC-Mumbai,837802,Company limited by Shares,Non-govt company,Private,15-08-2016,9,IT Services,"2786 Brown Forks, Lake Gabrielfurt, ID 27930",Tammy Price,carr-brown@carr-brown.com,9.17635E+11,
Rina Verma,25087228,Carter-Montes,CIN2796180,Yes,Active,ROC-Delhi,315813,Company limited by Shares,Non-govt company,Private,07-09-2022,3,IT Services,"PSC 9137, Box 2082, APO AE 19540",Troy Jackson,carter-montes@carter-montes.com,9.18093E+11,
Rina Iyer,14431522,"Chang, Li and Andrade",CIN4957365,Yes,Inactive,ROC-Bangalore,901010,Company limited by Shares,Non-govt company,Private,30-05-2016,9,Manufacturing,"4126 Manning Freeway Apt. 965, South Mark, MI 13929",Heather Moss,chang@andrade.com,9.18843E+11,
Arjun Malhotra,77514081,"Conway, Thompson and Rowland",CIN7764889,No,Active,ROC-Delhi,179255,Company limited by Shares,Non-govt company,Private,23-10-2019,6,Manufacturing,"374 Monique Islands Suite 956, Katherinefort, AR 77352",Lisa Pena,conway@rowland.com,9.17773E+11,
Neha Malhotra,20210553,Davila Inc,CIN4780092,Yes,Active,ROC-Bangalore,904698,Company limited by Shares,Non-govt company,Public,23-08-2019,6,IT Services,"PSC 1600, Box 6580, APO AE 32814",Stephen Sims,davila@inc.com,9.17314E+11,
Rina Joshi,84141337,Decker LLC,CIN5708735,No,Active,ROC-Mumbai,375293,Company limited by Shares,Non-govt company,Public,13-09-2015,10,Manufacturing,"PSC 3688, Box 0473, APO AP 63915",Ms. Angela Peterson DDS,decker@llc.com,9.17406E+11,
Ravi Reddy,21982513,Diaz-Osborne,CIN9458747,Yes,Inactive,ROC-Mumbai,688945,Company limited by Shares,Non-govt company,Public,01-08-2023,2,Consulting,"302 Denise Flats Suite 605, West Stephanie, ND 41232",Mary Reid,diaz-osborne@diaz-osborne.com,9.18969E+11,CIN9151717
Meera Nair,92918380,"Fisher, Baker and Jenkins",CIN2342704,Yes,Active,ROC-Mumbai,352416,Company limited by Shares,Non-govt company,Public,12-08-2018,7,Services,"99289 Shawn Shoal, Lake Lauren, NJ 04361",Austin Adams,fisher@jenkins.com,9.17915E+11,
Meera Nair,92918380,"Gray, Smith and Dennis",CIN1709528,No,Inactive,ROC-Bangalore,940430,Company limited by Shares,Non-govt company,Public,21-03-2017,8,Services,"PSC 1220, Box 4697, APO AA 62012",Robert Jennings,gray@dennis.com,9.17086E+11,
Priya Joshi,84730715,"Gray, Smith and Dennis",CIN1709528,No,Inactive,ROC-Bangalore,940430,Company limited by Shares,Non-govt company,Public,16-05-2019,8,Services,"PSC 1220, Box 4697, APO AA 62012",Robert Jennings,gray@dennis.com,9.17086E+11,
Neha Iyer,64461119,"Hall, Diaz and Jensen",CIN5144069,No,Active,ROC-Bangalore,502342,Company limited by Shares,Non-govt company,Public,09-06-2016,9,Manufacturing,"9909 Moses Trail, Dianaburgh, ID 40234",Joseph Floyd,hall@jensen.com,9.18197E+11,
Ravi Patel,40186181,Hernandez Group,CIN4741268,Yes,Inactive,ROC-Mumbai,279346,Company limited by Shares,Non-govt company,Public,19-05-2019,6,Consulting,"99523 Andrew Circles Apt. 888, Medinafort, SC 25629",Jodi Fischer,hernandez@group.com,9.17777E+11,
Neha Iyer,64461119,Hernandez PLC,CIN0805516,No,Inactive,ROC-Mumbai,232613,Company limited by Shares,Non-govt company,Public,17-01-2023,2,Manufacturing,"02730 Lindsey Spur Suite 660, New Bryanstad, CO 11367",Jim Walter,hernandez@plc.com,9.1883E+11,
Rina Joshi,84141337,Hicks-Boone,CIN5802477,No,Active,ROC-Delhi,662435,Company limited by Shares,Non-govt company,Public,27-07-2018,7,IT Services,"4255 Henson Stream, Hughesmouth, ID 77335",Tanya Trujillo,hicks-boone@hicks-boone.com,9.16011E+11,
Rina Chowdhury,84703448,"Hooper, Barnett and Torres",CIN6461083,No,Inactive,ROC-Mumbai,327115,Company limited by Shares,Non-govt company,Public,18-12-2015,10,Consulting,"882 Porter Plains Suite 395, West Sarahbury, MD 35175",Kevin Jimenez,hooper@torres.com,9.18819E+11,
Ravi Joshi,32170979,Huber-Travis,CIN7665926,Yes,Inactive,ROC-Mumbai,187144,Company limited by Shares,Non-govt company,Public,23-11-2023,2,Manufacturing,"61530 Rebecca Extensions, East Kylestad, WV 35348",Steven Frank,huber-travis@huber-travis.com,9.19437E+11,
Kiran Nair,53433762,"Hughes, Torres and Mcintyre",CIN7802260,Yes,Active,ROC-Mumbai,616200,Company limited by Shares,Non-govt company,Public,08-06-2020,5,Manufacturing,"2858 Crystal Unions Suite 602, Barnettstad, WA 97515",Heidi Henderson,hughes@mcintyre.com,9.17788E+11,
Neha Malhotra,20210553,Jackson-Perry,CIN4850522,Yes,Active,ROC-Bangalore,970004,Company limited by Shares,Non-govt company,Private,17-09-2022,3,Consulting,"2304 Kathryn Pines, West Vincent, NH 29879",Stacie Garcia,jackson-perry@jackson-perry.com,9.19723E+11,
Priya Joshi,84730715,Jefferson-Wilson,CIN6528982,No,Inactive,ROC-Delhi,177429,Company limited by Shares,Non-govt company,Private,27-11-2023,2,Manufacturing,"1354 Andrews Course Apt. 055, Westberg, IA 24020",Laura Ballard,jefferson-wilson@jefferson-wilson.com,9.19936E+11,
Rina Chowdhury,84703448,"Jenkins, Ramos and Garrett",CIN4211257,Yes,Active,ROC-Mumbai,803975,Company limited by Shares,Non-govt company,Private,06-12-2018,7,Services,"9475 Moore Parks Apt. 226, Lake Michaelfort, IL 27920",Tina Martin,jenkins@garrett.com,9.17495E+11,
Priya Joshi,84730715,"Johnson, Blake and Fowler",CIN9265215,No,Active,ROC-Mumbai,401254,Company limited by Shares,Non-govt company,Public,11-04-2023,2,IT Services,"Unit 1070 Box 9061, DPO AE 94323",Dennis Jimenez,johnson@fowler.com,9.19653E+11,
Rina Sharma,52157914,Johnson-Curtis,CIN4235636,Yes,Active,ROC-Delhi,650817,Company limited by Shares,Non-govt company,Private,24-05-2018,7,Services,"3629 Gray Field, North Joanneshire, PA 30255",Jean Coleman,johnson-curtis@johnson-curtis.com,9.17477E+11,
