Employee ID,Name,Department,Role,Official Email,Phone Number,Aadhaar Number,Residential Address,Personal Email ID,PAN Number,Address,Email,Phone,Next_of_kin_name,Next_of_kin_relation,Next_of_kin_phone,Next_of_kin_email,Edge_Case,Latitude,Longitude,Country
QIN1060,Andrea Thomas,Compliance,Coordinator,rina.reddy@qualcomm.in,-8667100490,5534-7170-8455,"210, Phase 12, Chennai",rina.reddy@outlook.com,BTYYA8001X,"Flat 223, Saket DDA Apartments, New Delhi",,,Jennifer Anderson,Sister,917703000000,jennifer@anderson.com,,28.5240261,77.20251155,India
QIN1045,Andrew Bennett,Project Management,Manager,arjun.chowdhury@qualcomm.in,-7151350220,2726-3991-6698,"249, Phase 18, Chennai",arjun.chowdhury@gmail.com,UPZXQ8400L,"Apartment 17, Sushant Lok Phase 16, Gurgaon, Haryana",,,Jonathan Mitchell,Kid,917968000000,jonathan@mitchell.com,,28.42569696,77.10502665,India
QIN1036,Andrew Burns,Project Management,Coordinator,priya.kumar@qualcomm.in,-7094168204,8759-1408-8953,"907, Sector 1, Noida",priya.kumar@outlook.com,YZYPL7529I,"Flat 111, Botanical Garden Road, Kondapur, Hyderabad, Telangana",,,Megan Rodriguez,Sister,918517000000,megan@rodriguez.com,,17.46215316,78.35240393,India
QIN1032,Andrew Hester,Admin,Engineer,priya.verma@qualcomm.in,-9342544153,9605-3565-5720,"872, Sector 16, Pune",priya.verma@yahoo.com,HVUPB4758E,"No. 349, 1st Cross, Indiranagar, Bangalore, Karnataka",,,Bradley Tate,Kid,919690000000,bradley@tate.com,,12.97371057,77.65258243,India
QIN1001,Angela Brennan,Project Management,Engineer,suresh.verma@qualcomm.in,-9880106942,5837-3710-9966,"682, Sector 14, Bangalore",suresh.verma@yahoo.com,GZDPR9823D,"Apartment 604, Green Park Main, New Delhi",,,Matthew Brennan,Spouse,919865000000,matthew@wilson.com,son is company director,28.55909283,77.20382355,India
QIN1004,Anne Gamble,Compliance,Manager,deepak.joshi@qualcomm.in,-8940686720,5849-3938-1969,"520, Sector 11, Chennai",deepak.joshi@outlook.com,RMCHH6811M,"H.No. 126, Malviya Nagar, New Delhi",,,Deepika J,Kid,917093000000,deepika@joshi.com,,28.53006699,77.2088118,India
QIN1014,Arjun Chowdhury,Admin,Manager,arjun.chowdhury@qualcomm.in,-9693786370,9607-6390-2244,"984, Sector 11, Pune",arjun.chowdhury@yahoo.com,AAEJW2964K,"E-BLOCK, SAMAY VIHAR APARTMENT, 34, Rajapur, Pocket 34, Sector 13, Rohini, Delhi, 110085",,,Megan Chowdhury,Kid,918634000000,megan@chowdhury.com,employee address same as company,28.72450604,77.12663957,India
QIN1031,Arjun Kumar,Admin,Coordinator,arjun.kumar@qualcomm.in,-8678621545,5252-1568-1151,"117, Phase 19, Bangalore",arjun.kumar@outlook.com,PMIEH9498A,"Apartment 1003, Green Park Main, New Delhi",,,Ashwariya Kumar,Sister,919670000000,ashwariya@kumar.com,sister is company director,28.55909283,77.20382355,India
QIN1033,Ashley Torres,Procurement,Analyst,neha.reddy@qualcomm.in,-8933903752,3304-6814-5266,"114, Sector 4, Hyderabad",neha.reddy@yahoo.com,NRGOS8918U,"Plot No. 184, Jayanagar 4th Block, Bangalore, Karnataka",,,Vanessa Wallace,Mother,918360000000,vanessa@wallace.com,,12.92809212,77.58265655,India
QIN1012,Beverly Valdez,Compliance,Coordinator,suresh.joshi@qualcomm.in,-7924264259,6721-4287-6474,"119, Phase 7, Noida",suresh.joshi@yahoo.com,CQCUK6210J,"Apartment 101, Green Park Main, New Delhi",,,Craig Bennett,Father,916010000000,craig@bennett.com,,28.55909283,77.20382355,India
