Employee ID,Name,Department,Role,Official Email,Phone Number,Aadhaar Number,Residential Address,Personal Email ID,PAN Number,Address,Email,Phone,Next_of_kin_name,Next_of_kin_relation,Next_of_kin_phone,Next_of_kin_email,Edge_Case
QIN1014,Arjun Chowdhury,Admin,Manager,arjun.chowdhury@qualcomm.in,-9693786370,9607-6390-2244,"984, Sector 11, Pune",arjun.chowdhury@yahoo.com,AAEJW2964K,"373, Sector 12, New Delhi",,,Megan Chowdhury,Kid,9.18634E+11,megan@chowdhury.com,employee address same as company
QIN1031,Arjun Kumar,Admin,Coordinator,arjun.kumar@qualcomm.in,-8678621545,5252-1568-1151,"117, Phase 19, Bangalore",arjun.kumar@outlook.com,PMIEH9498A,,,,Ashwariya Kumar,Sister,9.1967E+11,ashwariya@kumar.com,sister is company director
QIN1037,Priya Nair,Project Management,Manager,priya.nair@qualcomm.in,-8530368759,3922-1151-6994,"138, Sector 13, Bangalore",priya.nair@gmail.com,NDGVB5437A,,,,Dugesh Nair,Kid,9.16133E+11,brightaxis@llp.com,kin contact matches company contact
QIN1043,Deepak Chowdhury,Engineering,Coordinator,deepak.chowdhury@qualcomm.in,-8541618170,3305-9193-2224,"864, Sector 7, Bangalore",deepak.chowdhury@yahoo.com,IHMBI2732D,"373, Sector 15, New Delhi",,,Jignesh Chowdhury,Kid,9.18839E+11,john@reilly.com,employee address same as company
QIN1001,Angela Brennan,Project Management,Engineer,suresh.verma@qualcomm.in,-9880106942,5837-3710-9966,"682, Sector 14, Bangalore",suresh.verma@yahoo.com,GZDPR9823D,,,,Matthew Brennan,Spouse,9.19865E+11,matthew@wilson.com,son is company director
QIN1002,Katherine Anderson,Engineering,Manager,arjun.nair@qualcomm.in,-7905778842,8456-4693-4810,"832, Phase 4, Pune",arjun.nair@outlook.com,RHDWL4188W,,,,Rachel Anderson,Mother,9.17999E+11,rachel@anderson.com,mother is company director
QIN1003,Emily Norton,Admin,Analyst,meera.nair@qualcomm.in,-7006599936,7664-1707-1701,"406, Phase 6, Chennai",meera.nair@outlook.com,YIQZP5491O,,,,Thomas Dyer,Kid,9.17379E+11,thomas@dyer.com,
QIN1004,Anne Gamble,Compliance,Manager,deepak.joshi@qualcomm.in,-8940686720,5849-3938-1969,"520, Sector 11, Chennai",deepak.joshi@outlook.com,RMCHH6811M,,,,Deepika J,Kid,9.17093E+11,deepika@joshi.com,
QIN1005,Dennis Duncan,Admin,Analyst,suresh.joshi@qualcomm.in,-7058552346,2988-2587-9128,"195, Sector 12, Hyderabad",suresh.joshi@outlook.com,TGNJQ3461H,,,,Michael Williamson,Kid,9.16221E+11,michael@williamson.com,
QIN1006,Dawn Gilmore,Compliance,Analyst,amit.joshi@qualcomm.in,-9238854190,1559-6311-4089,"167, Phase 17, Noida",amit.joshi@outlook.com,TARMD3905R,,,,Sonya Schmidt,Kid,9.16435E+11,sonya@schmidt.com,
